,Unnamed: 0,industry_freq,sub_freq,type_freq,city_freq,actual_amount,industry_vertical,sub_vertical,city_location,investment_type,amount_in_usd,predicted_amount,predicted_amount_log,actual_amount_log,funded,Funded
458,1392,0.1818873668188736,0.0003805175038051,0.4284627092846271,0.3002283105022831,1000000.0,technology,mobileappdevelopmentcompany,bangalore,seedfunding,1000000.0,369353.2753452152,12.819511558211984,13.815511557963774,True,True
459,307,0.0235920852359208,0.0079908675799086,0.4585235920852359,0.3002283105022831,12500000.0,finance,onlinelendingplatform,bangalore,privateequity,12500000.0,10960162.66326776,16.209777772152556,16.341239282272525,True,True
460,1422,0.3569254185692542,0.0003805175038051,0.4284627092846271,0.1997716894977169,890000.0,consumerinternet,mobilebasedbollywooddiscoveryplatform,mumbai,seedfunding,890000.0,305152.3305704844,12.6285696524485,13.698977865303196,True,True
461,1870,0.3569254185692542,0.0003805175038051,0.4284627092846271,0.3002283105022831,250000.0,consumerinternet,onlineinvestmentmanagementportal,bangalore,seedfunding,250000.0,388657.6535537877,12.870456740083428,12.429220196836384,True,True
462,2400,0.0003805175038051,0.1997716894977169,0.4284627092846271,0.3002283105022831,400000.0,governmenttestpreparationplatform,unknown,bangalore,seedfunding,400000.0,520682.9585600806,13.162898531225078,12.899222326086994,True,True
463,1214,0.1818873668188736,0.0003805175038051,0.4585235920852359,0.3002283105022831,4000000.0,technology,mobilegamingportal,bangalore,privateequity,4000000.0,4040270.306255439,15.211822402696258,15.201805169084134,True,True
464,1698,0.0277777777777777,0.0003805175038051,0.4585235920852359,0.0357686453576864,150000.0,healthcare,seniorhealthcareservices,hyderabad,privateequity,150000.0,4421487.77113275,15.301987023388856,11.918397239722838,True,True
465,156,0.3569254185692542,0.0003805175038051,0.4585235920852359,0.1997716894977169,12500000.0,consumerinternet,onlinemarketplaceformultibrandbeautycosmeticandwellnessproducts,mumbai,privateequity,12500000.0,4676487.321310677,15.358058027539538,16.341239282272525,True,True
466,150,0.0015220700152207,0.0003805175038051,0.0053272450532724,0.3002283105022831,12000000.0,logisticstech,booktrucksonline,bangalore,seriesc,12000000.0,9448132.121144105,16.061327726635614,16.300417291085605,True,True
467,1981,0.3569254185692542,0.0003805175038051,0.4585235920852359,0.1411719939117199,3000000.0,consumerinternet,hyperlocaldiscovermobileapp,newdelhi,privateequity,3000000.0,4129568.029008727,15.23368360816263,14.914123179965662,True,True
468,2391,0.0003805175038051,0.1997716894977169,0.4585235920852359,0.3002283105022831,12500000.0,smallbusinessfinancing(nbfc),unknown,bangalore,privateequity,12500000.0,5787616.634954608,15.571231302864163,16.341239282272525,True,True
